2022-12-07 07:18:53,511 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:15:29')
2022-12-07 07:19:15,807 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:15:29')'
2022-12-07 07:19:16,554 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:19:21,644 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:19:59,656 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:20:51,037 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:20:58,201 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:26:35,900 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:27:18,000 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:32:01,880 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 07:32:19,000 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-08')'
2022-12-07 07:33:05,381 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:30:29')'
2022-12-07 07:33:05,783 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:30:29')
2022-12-07 07:44:37,091 | UposService | INFO | error to do 'GetefficiencyData('2022-04-01 00:00:29')'
2022-12-07 07:45:13,061 | UposService | INFO | error to do 'GetefficiencyData('2022-04-01 00:00:29')'
2022-12-07 07:45:51,342 | UposService | INFO | error to do 'Getrun_numData('2022-04-01 00:00:29')'
2022-12-07 07:51:15,243 | UposService | INFO | succeed to do 'Getrun_numData('2022-04-01 00:00:29')'
2022-12-07 07:52:32,062 | UposService | INFO | succeed to do 'Getrun_numData('2022-04-01 00:00:29')'
2022-12-07 07:52:35,430 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 00:00:29')'
2022-12-07 07:54:18,434 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-02 00:00:29')'
2022-12-07 07:54:22,625 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-03 00:00:29')'
