2022-12-02 05:18:17,017 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:15:29')'
2022-12-02 05:20:13,450 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:20:29')'
2022-12-02 05:20:40,824 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 05:21:17,297 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:20:29')'
2022-12-02 05:23:12,775 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-09')'
2022-12-02 05:23:33,873 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 05:27:47,470 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:25:29')'
2022-12-02 05:30:11,115 | UposService | INFO | error to do 'GetLpDataDaily('202104',202105)'
2022-12-02 05:30:12,981 | UposService | INFO | error to do 'GetLpDataDaily('202104',202105)'
2022-12-02 05:31:32,022 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:30:29')'
2022-12-02 05:32:02,304 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-21')'
2022-12-02 05:33:54,330 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-12-02 05:33:54,427 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 05:35:14,232 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:30:29')'
2022-12-02 05:36:14,687 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:35')'
2022-12-02 05:36:35,871 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:35')'
2022-12-02 05:41:19,706 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:40')'
2022-12-02 05:45:23,721 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:45')'
2022-12-02 05:50:28,552 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:50')'
