2022-11-30 08:51:13,410 | UposService | INFO | succeed to do 'GetAHUData('2021-04-01 00:00:29')
2022-12-01 00:01:28,792 | UposService | INFO | succeed to do 'GetAHUData('2021-04-01 00:00:29')
2022-12-01 01:26:16,012 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-12-01 01:26:16,025 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-12-01 01:26:16,040 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-01 01:26:53,676 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-12-01 01:30:56,158 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:30')'
2022-12-01 01:35:53,238 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:35')'
2022-12-01 01:40:53,688 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:40')'
2022-12-01 01:42:14,399 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:40:29')'
2022-12-01 01:43:00,481 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:40:29')'
2022-12-01 01:43:00,494 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-12-01 01:43:00,504 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-01 01:43:22,249 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:40:29')'
2022-12-01 01:45:46,116 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:45:29')'
2022-12-01 01:46:08,178 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:45:29')'
2022-12-01 01:50:59,652 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:50')'
