2022-12-08 05:25:59,534 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:25:29')'
2022-12-08 05:28:18,007 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:25:29')'
2022-12-08 05:28:18,366 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:25:29')
2022-12-08 05:28:18,533 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:25:29')'
2022-12-08 05:28:18,715 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:25:29')'
2022-12-08 05:30:02,273 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:30:29')'
2022-12-08 05:30:02,448 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:30:29')'
2022-12-08 05:30:02,825 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:30:29')
2022-12-08 05:30:03,009 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:30:29')'
2022-12-08 05:31:03,079 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:30:29')'
2022-12-08 05:31:03,283 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:30:29')'
2022-12-08 05:31:03,684 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:30:29')
2022-12-08 05:31:03,866 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:30:29')'
2022-12-08 05:35:35,887 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:35:29')'
2022-12-08 05:35:36,274 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:35:29')
2022-12-08 05:35:36,470 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:35:29')'
2022-12-08 05:35:36,632 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:35:29')'
2022-12-08 05:41:12,087 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:40:29')'
2022-12-08 05:41:12,419 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:40:29')
2022-12-08 05:41:12,587 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:40:29')'
2022-12-08 05:41:12,766 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:40:29')'
2022-12-08 05:41:54,293 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:40:29')'
2022-12-08 05:41:54,640 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:40:29')
2022-12-08 05:41:54,838 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:40:29')'
2022-12-08 05:41:55,002 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:40:29')'
2022-12-08 05:46:15,223 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-08 05:46:15,582 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:45:29')
2022-12-08 05:46:15,749 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:45:29')'
